epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,7058.34,0.69881,0.44762,0.81201,0.94833,0.95,0.92686,0.76385,0.69761,0.45255,0.94633,0.0003368,0.0003368,0.0003368
86,7142.15,0.66232,0.44606,0.8259,0.94839,0.95,0.92257,0.75635,0.72546,0.45166,0.94081,0.000317,0.000317,0.000317
87,7225.53,0.67973,0.46579,0.8385,0.94839,0.95,0.92329,0.76089,0.72693,0.44643,0.94142,0.0002972,0.0002972,0.0002972
88,7309.62,0.6775,0.44094,0.82337,0.94835,0.95,0.925,0.76245,0.71002,0.46527,0.94552,0.0002774,0.0002774,0.0002774
89,7394.35,0.66423,0.43912,0.82995,0.94821,0.95,0.9265,0.7811,0.67264,0.46812,0.94292,0.0002576,0.0002576,0.0002576
90,7481.99,0.67297,0.45464,0.82393,0.94823,0.95,0.9227,0.77876,0.68512,0.45748,0.93882,0.0002378,0.0002378,0.0002378
91,7578.44,0.62724,0.44747,0.80588,0.94804,0.95,0.91978,0.78217,0.65981,0.44994,0.9344,0.000218,0.000218,0.000218
92,7652.24,0.64014,0.44253,0.82811,0.94797,0.95,0.9215,0.779,0.66974,0.45928,0.93279,0.0001982,0.0001982,0.0001982
93,7728.15,0.64271,0.44664,0.8259,0.94805,0.95,0.92025,0.7774,0.66223,0.45498,0.93243,0.0001784,0.0001784,0.0001784
94,7795.8,0.61347,0.4239,0.82214,0.94824,0.95,0.92592,0.78926,0.65895,0.43696,0.92703,0.0001586,0.0001586,0.0001586
95,7864.22,0.65789,0.473,0.83314,0.94832,0.95,0.93,0.78429,0.6668,0.43497,0.92944,0.0001388,0.0001388,0.0001388
96,7928.79,0.68242,0.46044,0.82314,0.94833,0.95,0.93009,0.78966,0.66751,0.43467,0.92967,0.000119,0.000119,0.000119
97,7995.47,0.64911,0.45615,0.83786,0.94829,0.95,0.92967,0.78162,0.64785,0.43737,0.93061,9.92e-05,9.92e-05,9.92e-05
98,8061.71,0.62309,0.43544,0.81672,0.94827,0.95,0.92836,0.78082,0.64928,0.43839,0.93221,7.94e-05,7.94e-05,7.94e-05
99,8126.71,0.6189,0.42551,0.81905,0.94826,0.95,0.92733,0.7838,0.65056,0.43923,0.93223,5.96e-05,5.96e-05,5.96e-05
100,8191.43,0.61553,0.43294,0.82068,0.94827,0.95,0.92686,0.77902,0.65108,0.43811,0.93228,3.98e-05,3.98e-05,3.98e-05
